ADDRESS1,ZIPCODE2,CITY,STATE,LATITUDE,LONGITUDE,STOREID,PREFIX,duplicate,check
222 Spadina Avenue,M5T3B3,Toronto,ON,43.6769,-79.4079,605251118011615, 222 Spadi,0,0
4700 Kingsway,V5H4N2,Burnaby,BC,49.2283,-122.999,608041250483507, 4700 King,0,0
4725 Dorchester Rd.,L2J2K8,Niagara Falls,ON,42.9219,-81.0515,20574, 4725 Dorc,0,0
7500 120 St,V3W3N1,Surrey,BC,49.1401,-122.89,608041250482283, 7500 120 ,0,0
9737 Macleod Trail S.W. ,T2J0P6,Calgary ,AB,50.9677,-114.071,608041250482893, 9737 Macl,0,0
Eglinton Square Blvd ,M1L2K1,Scarborough,ON,43.7238,-79.2992,24016, Eglinton ,0,0
# 2 HOSPITAL ST,T9H5E4,Fort McMurray,AB,56.7223,-111.359,27287,# 2 HOSPIT,0,0
# 54-1225 ST MARY ' S RD,R2M5E6,Winnipeg,MB,49.8289,-97.1105,21333,# 54-1225 ,0,0
#1 York Tech Drive,L6G1A6,Markham,ON,43.8457,-79.3531,16544,#1 York Te,0,0
#100 - 20 VALLEYWOOD DRIVE,L3R6G1,Markham,ON,43.91,-78.9573,608041250483459,#100 - 20 ,0,0
#100  4700 130th Avenue SE,T2Z4E7,Calgary,AB,50.9335,-113.967,28671,#100  4700,0,0
#101 - 2900 DRINKWATER ROAD,V9L6C6,Duncan,BC,48.8026,-123.718,13158,#101 - 290,0,0
#101 - 45805 LUCKAKUCK WAY,V2R5S3,Chilliwack,BC,49.145,-121.959,13154,#101 - 458,0,0
#101-45805 Luckakuck Way,V2R5P9,Chilliwack,BC,49.1429,-121.958,28140,#101-45805,0,0
"#101T, 15277-100 Avenue",T2W3N2,Calgary,AB,50.962,-114.075,608041250483393,"#101T, 152",0,1
"#101T, 15277-100 Avenue",V3R8X2,Surrey,BC,49.1848,-122.799,608041250483396,"#101T, 152",1,1
#103 19232 Enterprise Way,V3S6J9,Surrey,BC,49.3116,-123.082,608041250483453,#103 19232,0,0
#110 - 350R SHAWVILLE BOULEVARD SE,T2Y3S4,Calgary,AB,50.9015,-114.064,13163,#110 - 350,0,0
#130-15850 26th Ave.,V3Z2N6,Surrey,BC,NULL,NULL,13767,#130-15850,0,0
#150 - 351 Abbott St.,V6B0G6,VANCOUVER,,,,,#150 - 351,0,0
#155 - 2463 Hwy. #97,V1X4J2,Kelowna,BC,43.3722,-80.187,16114,#155 - 246,0,0
#16-7 Assiniboine Drive,S7K1H1,Saskatoon,SK,52.1622,-106.636,24891,#16-7 Assi,0,0
