,accuracy,formatted_address,google_place_id,input_string,latitude,longitude,number_of_results,postcode,status,type
0,,,,"#101T, 15277-100 Avenue,Calgary,AB,Canada,T2W3N2",,,0,,INVALID_REQUEST,
1,,,,"#300 - 800 15TH STREET EAST,Prince Albert,SK,Canada,S6V8E3",,,0,,INVALID_REQUEST,
2,RANGE_INTERPOLATED,"1 Bass Pro Mills Dr, Concord, ON L4K 5W4, Canada",EjAxIEJhc3MgUHJvIE1pbGxzIERyLCBDb25jb3JkLCBPTiBMNEsgNVc0LCBDYW5hZGEiGhIYChQKEglnjjipFS8riBFWy6Z2bFR2fBAB,"1 Bass Pro Mills Dr,Vaughan,ON,Canada,L4K5W4",43.8231966,-79.533821,1,L4K 5W4,OK,street_address
3,ROOFTOP,"1 Boulevard des Promenades, Saint-Bruno-de-Montarville, QC J3V 5K1, Canada",ChIJed3UF5gGyUwR1TFGqELPAzw,"1 Boulevard des Promenades,St-Bruno,QC,Canada,J3V5J5",45.5053569,-73.3771284,1,J3V 5K1,OK,street_address
4,ROOFTOP,"1 Dundas St W #2500, Toronto, ON M5G 1Z3, Canada",ChIJqQGIFss0K4gR6ZNlpMzp0P4,"1 Dundas St West, Unit B218C,Toronto,ON,Canada,M5B2H1",43.655404,-79.381929,1,M5G 1Z3,OK,"establishment,point_of_interest,travel_agency"
5,ROOFTOP,"1 Eglinton Square, Scarborough, ON M1L 2K1, Canada",ChIJWfxJutzN1IkRiRlKfsNLU4I,"1 Eglinton Square ,Toronto,ON,Canada,M1L2K1",43.7228421,-79.300604,1,M1L 2K1,OK,premise
6,ROOFTOP,"1 Mt Bernard Ave, Corner Brook, NL A2H 6Y5, Canada",ChIJay0ohPuxe0sRmzz6HHxuV5I,"1 Mount Bernard Avenue,Corner Brook,NL,Canada,A2H6Y5",48.9506992,-57.95124740000001,1,A2H 6Y5,OK,street_address
7,ROOFTOP,"1 Outlet Collection Way, Calmar, AB T0C 0V0, Canada",ChIJH862cdL5n1MRXt470geIJCc,"1 Outlet Collection Way,Edmonton,AB,Canada,T9E 1J5",53.3022267,-113.5534179,1,T0C 0V0,OK,premise
8,RANGE_INTERPOLATED,"1 Pine Dr, Parry Sound, ON P2A 2L7, Canada",EioxIFBpbmUgRHIsIFBhcnJ5IFNvdW5kLCBPTiBQMkEgMkw3LCBDYW5hZGEiGhIYChQKEgn_aANQeLArTRHx6LuRjDhe6xAB,"1 Pine Drive,Parry Sound,ON,Canada,P2A3C3",45.3450283,-80.01073679999999,1,P2A 2L7,OK,street_address
9,ROOFTOP,"1 Promenade Cir, Thornhill, ON L4J 4P8, Canada",ChIJTRr7QjcsK4gRV050b6_nRGM,"1 Promenade Circle,Thornhill,ON,Canada,L4J4P8",43.8064592,-79.45245709999999,1,L4J 4P8,OK,premise
10,ROOFTOP,"1 Rue Dufferin, Salaberry-de-Valleyfield, QC J6S 1X9, Canada",ChIJB108kzpOyUwRMvfGXhw1L1c,"1 rue Dufferin,Salaberry-de-Valleyfield,QC,Canada,J6S1X9",45.261197,-74.13219219999999,1,J6S 1X9,OK,premise
11,ROOFTOP,"1 Springs Dr, Swift Current, SK S9H 3X6, Canada",ChIJv4EVTSHeEFMR0jix61bKFYQ,"1 Spring dr,Swift Current,SK,Canada,S9H3X6",50.30717749999999,-107.780573,1,S9H 3X6,OK,premise
12,ROOFTOP,"1 Springs Dr, Swift Current, SK S9H 3X6, Canada",ChIJv4EVTSHeEFMR0jix61bKFYQ,"1 Springs Drive ,Swift Current ,SK,Canada,S9H3X6",50.30717749999999,-107.780573,1,S9H 3X6,OK,premise
13,ROOFTOP,"1 Water St E, Cornwall, ON K6H 6M2, Canada",ChIJr517W00XzEwR55ycDb4_gUs,"1 Water Street E,Cornwall,ON,Canada,K6H6M2",45.016277,-74.725548,1,K6H 6M2,OK,premise
14,ROOFTOP,"1 Yorkdale Rd, North York, ON M6A 3A1, Canada",ChIJq6MYgjMyK4gRr78EJUSIqEA,"1 Yorkdale Road,Toronto,ON,Canada,M6A2T9",43.7246888,-79.45389039999999,1,M6A 3A1,OK,street_address
15,RANGE_INTERPOLATED,"10 Boulevard Saint Benoît E, Amqui, QC G5J 2C7, Canada",EjcxMCBCb3VsZXZhcmQgU2FpbnQgQmVub8OudCBFLCBBbXF1aSwgUUMgRzVKIDJDNywgQ2FuYWRhIhoSGAoUChIJXSvt_rT_lkwRmZ5y4niwHhgQCg,"10 boul. St-Benoit Est,Amqui,QC,Canada,G5J2C6",48.4648335,-67.4256537,1,G5J 2C7,OK,street_address
16,ROOFTOP,"10 Old Stock Yards Rd, Toronto, ON M6N 5G8, Canada",ChIJOXSEYaA2K4gRt8vtxi7Eop0,"10 OLD STOCK YARDS ROAD,Toronto,ON,Canada,M6N5G8",43.6692799,-79.47153109999999,1,M6N 5G8,OK,premise
17,ROOFTOP,"10 West Pearce St, Richmond Hill, ON L4B 1H6, Canada",ChIJ_yAtijUrK4gRYFT0CIWRh-Y,"10 West Pearce Street,Richmond Hill,ON,Canada,L4B1B6",43.8486123,-79.3846312,1,L4B 1H6,OK,street_address
18,ROOFTOP,"100 Anderson Rd SE, Calgary, AB T2J 3V1, Canada",ChIJkyACfMt2cVMRsz5_xyvY5RM,"100 Anderson Rd SE,Calgary,AB,Canada,T2J3V1",50.9525539,-114.0662572,1,T2J 3V1,OK,premise
19,RANGE_INTERPOLATED,"100 Bayshore Dr, Nepean, ON K2B 8C1, Canada",EisxMDAgQmF5c2hvcmUgRHIsIE5lcGVhbiwgT04gSzJCIDhDMSwgQ2FuYWRhIhoSGAoUChIJlwFyRMMAzkwRskMe9yBtqeIQZA,"100 Bayshore Dr,Nepean,ON,Canada,K2B8C1",45.3490049,-75.8049304,1,K2B 8C1,OK,street_address
20,ROOFTOP,"100 Billy Bishop Way, North York, ON M3K 2C8, Canada",ChIJldRrijAyK4gRkFZEqG5KGps,"100 Billy Bishop Way,North York,ON,Canada,M3K2C8",43.7310319,-79.4559251,1,M3K 2C8,OK,street_address
21,ROOFTOP,"100 Biscayne Crescent, Brampton, ON L6W 4S1, Canada",ChIJ073Xo0Y-K4gRariC0_H6eqo,"100 Biscayne Cresent,Brampton,ON,Canada,L6W4S1",43.6834157,-79.7122661,1,L6W 4S1,OK,premise
22,ROOFTOP,"100 Boulevard Brien, Repentigny, QC J6A 5N4, Canada",ChIJz4Kh6NnlyEwRV285VPecl4g,"100 boul. Brien,Repentigny,QC,Canada,J6A5N4",45.742263,-73.4586568,1,J6A 5N4,OK,premise
23,ROOFTOP,"100 Boulevard Brien, Repentigny, QC J6A 5N4, Canada",ChIJz4Kh6NnlyEwRV285VPecl4g,"100 Boulevard Brien,Repentigny,QC,Canada,J6A5N4",45.742263,-73.4586568,1,J6A 5N4,OK,premise
24,ROOFTOP,"Square One, 100 City Centre Dr, Mississauga, ON L5B 2C9, Canada",ChIJ7zD5yy5HK4gRQGFno-dq-9g,"100 City Center Dr,Mississauga,ON,Canada,L5B2C9",43.5930784,-79.64249110000002,1,L5B 2C9,OK,premise
25,ROOFTOP,"100 Great Lakes Dr, Brampton, ON L6R 2K7, Canada",ChIJ3WRF2GoWK4gRxcUHrEtB9eg,"100 Great Lakes Dr.,Brampton,ON,Canada,L6R2K7",43.729361,-79.76324199999999,1,L6R 2K7,OK,street_address
26,ROOFTOP,"100 King St W, Chatham, ON N7M 6A9, Canada",ChIJyUynS1j4L4gR2fj8axPwpgU,"100 King Street West,Chatham,ON,Canada,N7M6A9",42.4043015,-82.1838543,1,N7M 6A9,OK,premise
27,ROOFTOP,"100 Legend Ct, Ancaster, ON L9K 1J3, Canada",ChIJQcrBFRyFLIgRZgMtDPNk82I,"100 LEGEND COURT,Ancaster,ON,Canada,L9K 1J3",43.2296905,-79.9484741,1,L9K 1J3,OK,premise
28,ROOFTOP,"100 Rue du Terminus O, Rouyn-Noranda, QC J9X 6H7, Canada",ChIJ60bi75ozIU0RZG1ikmmXQNA,"100 rue du Terminus Ouest,Rouyn-Noranda,QC,Canada,J9X6H7",48.2424709,-79.0250247,1,J9X 6H7,OK,premise
29,ROOFTOP,"100 Rue du Terminus O, Rouyn-Noranda, QC J9X 6H7, Canada",ChIJ60bi75ozIU0RZG1ikmmXQNA,"100, rue du Terminus O,Rouyn-Noranda,QC,Canada,J9X6H7",48.2424709,-79.0250247,1,J9X 6H7,OK,premise
30,ROOFTOP,"1000 Fort William Rd, Thunder Bay, ON P7B 6B9, Canada",ChIJRflVtfshWU0RnasMtgX-_-U,"1000 FORT WILLIAM RD,Thunder Bay,ON,Canada,P7B 6B9",48.40226920000001,-89.2440292,1,P7B 6B9,OK,premise
31,ROOFTOP,"1000 Gerrard St E, Toronto, ON M4M 3G6, Canada",ChIJS7eaLXnL1IkRiPa3tLbuXLE,"1000 Gerrard St East,Toronto,ON,Canada,M4M3G6",43.669144,-79.3391627,1,M4M 3G6,OK,street_address
32,RANGE_INTERPOLATED,"1000 Parkedale Ave, Brockville, ON K6V, Canada",EioxMDAwIFBhcmtlZGFsZSBBdmUsIEJyb2NrdmlsbGUsIE9OLCBDYW5hZGEiGxIZChQKEgmJ6JxTMQ_NTBE3ajLysUcEUhDoBw,"1000 Parkedale Ave,Brockville,ON,Canada,K6V3G9",44.6169587,-75.6813019,1,K6V,OK,street_address
33,ROOFTOP,"1001 Boulevard de Montarville, Boucherville, QC J4B 6P5, Canada",ChIJn9NmecgCyUwROvJfx5rd1p0,"1001 Boulevard De Montarville,Boucherville,QC,Canada,J4B6P5",45.5906184,-73.4332879,1,J4B 6P5,OK,street_address
34,ROOFTOP,"10020 102 Ave, Edmonton, AB T5J 4B7, Canada",ChIJy8z-YU8ioFMRl60IiqKzAlc,"10020 102 Avenue NW,Edmonton,AB,Canada,T5J2Z2",53.54349,-113.4917182,1,T5J 4B7,OK,street_address
35,ROOFTOP,"1005 Boulevard Laure, Sept-Îles, QC G4R 4S6, Canada",ChIJ63-cW9HfkUwRaktNCYrjEYM,"1005 boul. Laure,Sept-Iles,QC,Canada,G4R4S6",50.22633099999999,-66.39419149999999,1,G4R 4S6,OK,premise
36,RANGE_INTERPOLATED,"1005 Ottawa St N, Kitchener, ON N2A, Canada",EicxMDA1IE90dGF3YSBTdCBOLCBLaXRjaGVuZXIsIE9OLCBDYW5hZGEiGxIZChQKEgmBYB9QSIsriBG-yXzSda2POxDtBw,"1005 OTTAWA ST N,Kitchener,ON,Canada,N2A 1H2",43.4494707,-80.44553429999999,1,N2A,OK,street_address
37,ROOFTOP,"101 Boulevard Cardinal Léger, Pincourt, QC J7V 3Y3, Canada",ChIJU9H9HQBIyUwRSBDCZry7Y6Y,"101 boul. Cardinal-Leger,Pincourt,QC,Canada,J7V9T3",45.3847432,-73.99526399999999,1,J7V 3Y3,OK,premise
