,accuracy,formatted_address,google_place_id,input_string,latitude,longitude,number_of_results,postcode,status,type
0,ROOFTOP,"1355 Kingston Rd, Pickering, ON L1V 1B8, Canada",ChIJt3qN0uDe1IkRtGYOsfjJFXI,"1355 Kingston Rd ,Pickering,ON,Canada,L1V1B8",43.8361864,-79.08604150000001,1,L1V 1B8,OK,premise
1,ROOFTOP,"1355 Kingston Rd, Pickering, ON L1V 1B8, Canada",ChIJt3qN0uDe1IkRtGYOsfjJFXI,"1355 Kingston Rd ,Pickering,ON,Canada,L1V1B8",43.8361864,-79.08604150000001,1,L1V 1B8,OK,premise
2,ROOFTOP,"1355 Kingston Rd, Pickering, ON L1V 1B8, Canada",ChIJt3qN0uDe1IkRtGYOsfjJFXI,"1355 Kingston Rd ,Pickering,ON,Canada,L1V1B8",43.8361864,-79.08604150000001,1,L1V 1B8,OK,premise
3,ROOFTOP,"13578 88 Ave, Surrey, BC V3W 3K8, Canada",ChIJU06dS-vZhVQRM2F3jyY3Ubw,"13578 88 Ave,Surrey,BC,Canada,V3W3K8",49.1624233,-122.8469494,1,V3W 3K8,OK,premise
4,ROOFTOP,"1358 Boulevard Moody, Terrebonne, QC J6W 3K9, Canada",ChIJ9cXo-IreyEwRSyfk_Q88ik8,"1358 Boulevard Moody,Terrebonne,QC,Canada,J6W3K9",45.7045858,-73.650969,1,J6W 3K9,OK,subpremise
5,ROOFTOP,"13604 Victoria Rd N, Summerland, BC V0H 1Z5, Canada",ChIJM1iRjANlglQRPx3QEwvRyEQ,"13604 VICTORIA RD N,Summerland,BC,Canada,V0H1Z5",49.603921,-119.684141,1,V0H 1Z5,OK,premise
6,ROOFTOP,"1361 Confederation St, Sarnia, ON N7S 5P1, Canada",ChIJM_EZywKDJYgRvai38EOgLEE,"1361 Confederation Street,Sarnia,ON,Canada,N7S5P1",42.9593515,-82.35591819999999,1,N7S 5P1,OK,premise
7,RANGE_INTERPOLATED,"1362 Lambton Mall Rd, Sarnia, ON N7S 3Y1, Canada",EjAxMzYyIExhbWJ0b24gTWFsbCBSZCwgU2FybmlhLCBPTiBON1MgM1kxLCBDYW5hZGEiGxIZChQKEgmzXtfFcYMliBGjq6WYDnM1-xDSCg,"1362 Lambton Road,Sarnia,ON,Canada,N7S5A1",42.9844901,-82.3550209,1,N7S 3Y1,OK,street_address
8,ROOFTOP,"13630 72 Ave, Surrey, BC V3W 2P3, Canada",ChIJtcLPgDLahVQRbqO4EpqeKIg,"13630 72 Ave,Surrey,BC,Canada,V3W2P3",49.13328449999999,-122.8445568,1,V3W 2P3,OK,premise
9,ROOFTOP,"13650 50 St NW, Edmonton, AB T5A 4Y3, Canada",ChIJx4IrTrg8oFMRmWD6ldz8BiY,"13650 50 Street,Edmonton,AB,Canada,T5A4Y3",53.5959124,-113.4161488,1,T5A 4Y3,OK,street_address
10,ROOFTOP,"13650 50 St NW, Edmonton, AB T5A 4Y3, Canada",ChIJx4IrTrg8oFMRmWD6ldz8BiY,"13650 50Th Street,Edmonton,AB,Canada,T5A4Y3",53.5959124,-113.4161488,1,T5A 4Y3,OK,street_address
11,ROOFTOP,"1366 Clyde Ave, Ottawa, ON K2C 3Z4, Canada",ChIJ6Y34tu8GzkwRIG-V4wMDj1k,"1366 Clyde Ave,Ottawa,ON,Canada,K2C3Z4",45.3619126,-75.7406719,1,K2C 3Z4,OK,street_address
12,ROOFTOP,"13663 St Albert Trail NW, Edmonton, AB T5L 5E7, Canada",ChIJvQRzgBokoFMR4KEOfdf8BKk,"13663 St. Albert Trail,Edmonton,AB,Canada,T5L5E7",53.59815709999999,-113.5730126,1,T5L 5E7,OK,street_address
13,GEOMETRIC_CENTER,"137 Ave NW, Alberta, Canada",ChIJrzQy1V0joFMRrUP3-TQHXlY,"137 Avenue NW,Edmonton,AB,Canada,T5L5H1",53.599635,-113.521668,1,,OK,route
14,ROOFTOP,"137 Bristol Ave, Liverpool, NS B0T 1K0, Canada",ChIJw-AhRrcjV0sRzYiGusR_nJU,"137 Bristol Avenue,Liverpool,NS,Canada,B0T1X0",44.0444781,-64.7215595,1,B0T 1K0,OK,premise
15,RANGE_INTERPOLATED,"137 Countryview Dr, Dartmouth, NS B3B, Canada",EikxMzcgQ291bnRyeXZpZXcgRHIsIERhcnRtb3V0aCwgTlMsIENhbmFkYSIbEhkKFAoSCfM3aAiVJlpLEcg_u8kr6vI9EIkB,"137 Countryview Drive,Dartmouth,NS,Canada,B3B0E7",44.7046419,-63.5648285,1,B3B,OK,street_address
16,RANGE_INTERPOLATED,"137 Countryview Dr, Dartmouth, NS B3B, Canada",EikxMzcgQ291bnRyeXZpZXcgRHIsIERhcnRtb3V0aCwgTlMsIENhbmFkYSIbEhkKFAoSCfM3aAiVJlpLEcg_u8kr6vI9EIkB,"137 Countryview Drive,Dartmouth,NS,Canada,B3B0E7",44.7046419,-63.5648285,1,B3B,OK,street_address
17,RANGE_INTERPOLATED,"13703 40 St NW, Edmonton, AB T5Y 3E7, Canada",EiwxMzcwMyA0MCBTdCBOVywgRWRtb250b24sIEFCIFQ1WSAzRTcsIENhbmFkYSIbEhkKFAoSCWfTH36VPKBTEcMnpnb8WDIEEIdr,"13703 40TH ST N W,Edmonton,AB,Canada,T5Y3B5",53.5989038,-113.4032094,1,T5Y 3E7,OK,street_address
18,ROOFTOP,"13708 Castle Downs Rd NW, Edmonton, AB T5X 4H7, Canada",ChIJPfutoIAkoFMRJt_6--eAcuU,"13708 Castle Downs Road NW,Edmonton,AB,Canada,T5X4H7",53.600052,-113.5177317,1,T5X 4H7,OK,street_address
19,ROOFTOP,"1371 Boulevard Michèle-Bohec #103, Blainville, QC J7C 5L4, Canada",EkIxMDMsIDEzNzEgQm91bGV2YXJkIE1pY2jDqGxlLUJvaGVjLCBCbGFpbnZpbGxlLCBRQyBKN0MgNUw0LCBDYW5hZGEiHxodChYKFAoSCTchDDHiKclMEXfLRQDl6sV_EgMxMDM,"1371 Boulevard Michel-Bohec Suite 103,Blainville,QC,Canada,J7C0M7",45.67952589999999,-73.9126036,1,J7C 5L4,OK,subpremise
20,ROOFTOP,"13711 72 Ave, Surrey, BC V3W 2P2, Canada",ChIJXzldCzLahVQRYAzbLWBLY5w,"13711 72nd Ave,Surrey,BC,Canada,V3W2P2",49.1340131,-122.8425525,1,V3W 2P2,OK,premise
21,ROOFTOP,"13720 40 St NW, Edmonton, AB T5Y 3E5, Canada",ChIJtxSE0788oFMRMp2-VS8_KdM,"13720 40 Street,Edmonton,AB,Canada,T5Y3E5",53.5987976,-113.4037892,1,T5Y 3E5,OK,street_address
22,ROOFTOP,"13723 42 St NW, Edmonton, AB T5Y 3E1, Canada",ChIJWzHzNb48oFMR_5vqW1iYH18,"13723 42nd NW,Edmonton,AB,Canada,T5Y2W7",53.5988429,-113.4058739,1,T5Y 3E1,OK,street_address
23,ROOFTOP,"13734 104 Ave, Surrey, BC V3T 1W5, Canada",ChIJTamxjn_XhVQRVOug3fwUrrc,"13734 104 Ave,Surrey,BC,Canada,V3T4H4",49.1912905,-122.8416491,1,V3T 1W5,OK,premise
24,ROOFTOP,"1375 Baseline Rd, Ottawa, ON K2C 3G1, Canada",ChIJ27rtHvAGzkwR2ohvbht-PAc,"1375 Baseline Rd,Ottawa,ON,Canada,K2C0A8",45.3638026,-75.73819449999999,1,K2C 3G1,OK,street_address
25,ROOFTOP,"114 Keewatin Ave, Longlac, ON P0T 2A0, Canada",ChIJF-gHJz2QQk0R9kESTfW_KdA,"1378607 Ontario LTD-BOX 848,Longlac,ON,Canada,P0T2A0",49.7803747,-86.5337943,1,P0T 2A0,OK,"electronics_store,establishment,point_of_interest,store"
26,ROOFTOP,"1379 Woodroffe Ave, Nepean, ON K2G 1V7, Canada",ChIJC1Z9DSEHzkwRiycQsBsCB1U,"1379 Woodroffe Ave.,Ottawa,ON,Canada,K2G1V7",45.3504295,-75.7617704,1,K2G 1V7,OK,street_address
27,ROOFTOP,"1379a Woodroffe Ave, Nepean, ON K2G 1V7, Canada",ChIJc_I_DCEHzkwRBJB2W3dhCpU,"1379-A WOODROFE AVE,Ottawa,ON,Canada,K2G1V7",45.3504228,-75.7617832,1,K2G 1V7,OK,street_address
28,GEOMETRIC_CENTER,"137th Ave, Queens, NY, USA",ChIJl1ZV6qVmwokR72jVOxl7cqI,"137th Avenue & 66th Street,Edmonton,AB,Canada,T5C3C8",40.6759825,-73.7534629,1,,OK,route
29,GEOMETRIC_CENTER,"137th Ave, Queens, NY, USA",ChIJl1ZV6qVmwokR72jVOxl7cqI,"137th Avenue & 66th Street,Edmonton,AB,Canada,T5C3C8",40.6759825,-73.7534629,1,,OK,route
30,GEOMETRIC_CENTER,"137th Ave, Queens, NY, USA",ChIJl1ZV6qVmwokR72jVOxl7cqI,"137th Avenue & 66th Street,Edmonton,AB,Canada,T5C3C8",40.6759825,-73.7534629,1,,OK,route
31,GEOMETRIC_CENTER,"137th Ave, Queens, NY, USA",ChIJl1ZV6qVmwokR72jVOxl7cqI,"137th Avenue & 66th Street,Edmonton,AB,Canada,T5C3C8",40.6759825,-73.7534629,1,,OK,route
32,GEOMETRIC_CENTER,"137th Ave, Queens, NY, USA",ChIJl1ZV6qVmwokR72jVOxl7cqI,"137th Avenue & 66th Street,Edmonton,AB,Canada,T5C3C8",40.6759825,-73.7534629,1,,OK,route
33,GEOMETRIC_CENTER,"137th Ave, Queens, NY, USA",ChIJl1ZV6qVmwokR72jVOxl7cqI,"137th Avenue & 66th Street,Edmonton,AB,Canada,T5C3C8",40.6759825,-73.7534629,1,,OK,route
34,GEOMETRIC_CENTER,"137th Ave, Queens, NY, USA",ChIJl1ZV6qVmwokR72jVOxl7cqI,"137th Avenue & 66th Street,Edmonton,AB,Canada,T5C3C8",40.6759825,-73.7534629,1,,OK,route
35,GEOMETRIC_CENTER,"137th Ave, Queens, NY, USA",ChIJl1ZV6qVmwokR72jVOxl7cqI,"137th Avenue & 66th Street,Edmonton,AB,Canada,T5C3C8",40.6759825,-73.7534629,1,,OK,route
36,GEOMETRIC_CENTER,"137th Ave, Queens, NY, USA",ChIJl1ZV6qVmwokR72jVOxl7cqI,"137th Avenue & 66th Street,Edmonton,AB,Canada,T5C3C8",40.6759825,-73.7534629,1,,OK,route
37,GEOMETRIC_CENTER,"137th Ave, Queens, NY, USA",ChIJl1ZV6qVmwokR72jVOxl7cqI,"137th Avenue & 66th Street,Edmonton,AB,Canada,T5C3C8",40.6759825,-73.7534629,1,,OK,route
38,GEOMETRIC_CENTER,"1380 Exmouth St, Sarnia, ON N7S 3X9, Canada",ChIJKav68HCDJYgR5pmz56-j7aI,"1380 Exmouth St,Sarnia,ON,Canada,N7S3X9",42.9850035,-82.3529875,1,N7S 3X9,OK,premise
39,GEOMETRIC_CENTER,"1380 Exmouth St, Sarnia, ON N7S 3X9, Canada",ChIJKav68HCDJYgR5pmz56-j7aI,"1380 EXMOUTH STREET,Sarnia,ON,Canada,N7S3X9",42.9850035,-82.3529875,1,N7S 3X9,OK,premise
40,ROOFTOP,"1380 London Rd, Sarnia, ON N7S 3Y1, Canada",ChIJ98C9U3KDJYgRmFe1d2VullY,"1380 London Road,Sarnia,ON,Canada,N7S1P8",42.9824949,-82.3523053,1,N7S 3Y1,OK,street_address
41,ROOFTOP,"1380 London Rd, Sarnia, ON N7S 3Y1, Canada",ChIJ98C9U3KDJYgRmFe1d2VullY,"1380 London Road,Sarnia,ON,Canada,N7S1P8",42.9824949,-82.3523053,1,N7S 3Y1,OK,street_address
42,ROOFTOP,"1380 London Rd, Sarnia, ON N7S 3Y1, Canada",ChIJ98C9U3KDJYgRmFe1d2VullY,"1380 London Road,Sarnia,ON,Canada,N7S1P8",42.9824949,-82.3523053,1,N7S 3Y1,OK,street_address
43,ROOFTOP,"1380 London Rd, Sarnia, ON N7S 3Y1, Canada",ChIJ98C9U3KDJYgRmFe1d2VullY,"1380 London Road,Sarnia,ON,Canada,N7S1P8",42.9824949,-82.3523053,1,N7S 3Y1,OK,street_address
44,ROOFTOP,"1380 London Rd, Sarnia, ON N7S 3Y1, Canada",ChIJ98C9U3KDJYgRmFe1d2VullY,"1380 London Road,Sarnia,ON,Canada,N7S1P8",42.9824949,-82.3523053,1,N7S 3Y1,OK,street_address
45,ROOFTOP,"1380 London Rd, Sarnia, ON N7S 3Y1, Canada",ChIJ98C9U3KDJYgRmFe1d2VullY,"1380 London Road,Sarnia,ON,Canada,N7S1P8",42.9824949,-82.3523053,1,N7S 3Y1,OK,street_address
